details,date,city,state,country,shape,summary,report_date,posted_date,month_count
https://nuforc.org/sighting/?id=176573,07/2023,Portland,OR,USA,Sphere,"Saw it at about 20-30k feet. It was a “go fast “, blurry, soft light.",07/03/2023,07/10/2023,502
https://nuforc.org/sighting/?id=176615,07/2023,Monroe,WA,USA,Light,"Very bright star-like object, about the size of Venus, but much brighter, moving very fast",07/05/2023,07/10/2023,502
https://nuforc.org/sighting/?id=176566,07/2023,Elizabethtown,PA,USA,Light,A short creature with big black shiny eyes ran from my shed back behind my car and then green lights flashed and it was gone.,07/03/2023,07/10/2023,502
https://nuforc.org/sighting/?id=176572,07/2023,Rapid City,SD,USA,Light,We saw round 3 lights moving through the sky above our area two of which performed movements an airplane could not.,07/03/2023,07/10/2023,502
https://nuforc.org/sighting/?id=176558,07/2023,Vandergrift,PA,USA,Orb,I took a video of it,07/02/2023,07/10/2023,502
https://nuforc.org/sighting/?id=176574,07/2023,St. George,UT,USA,Disk,"Flashing red, green and white lights",07/03/2023,07/10/2023,502
https://nuforc.org/sighting/?id=176761,07/2023,North cape may,NJ,USA,Disk,Was at the bay at night watching a thunder storm when a craft zoomed right in front of us then right over us. I went to the ground.,07/14/2023,07/29/2023,502
https://nuforc.org/sighting/?id=176618,07/2023,Montgomeryville,PA,USA,Sphere,"Pre-tornado: One with a trail far away, one floating much closer",07/06/2023,07/10/2023,502
https://nuforc.org/sighting/?id=176559,07/2023,Abo ruins near Belen,NM,USA,Circle,At ruins. It was silent. no emissions . Disappeared,07/02/2023,07/10/2023,502
https://nuforc.org/sighting/?id=176546,07/2023,Ashford,Kent,United Kingdom,Star,Flashing light changing direction,07/01/2023,07/10/2023,502
https://nuforc.org/sighting/?id=176569,07/2023,Coalinga,CA,USA,Other,We were driving through I5 when a craft appeared on drivers side then flew past windshield then on the left side with 3 bright lights.,07/03/2023,07/10/2023,502
https://nuforc.org/sighting/?id=176549,07/2023,"Avenal, CA",CA,USA,Rectangle,"Flat object moved in interesting pattern, transparent object with no sound, disappearance, reappearance, capture on video",07/02/2023,07/10/2023,502
https://nuforc.org/sighting/?id=177097,07/2023,Quincy,IL,USA,Circle,It flew so low in made a hum that made my eyes hurt it shot past so low to the point the trees blew from the wind I saw one big light,07/28/2023,07/29/2023,502
https://nuforc.org/sighting/?id=176597,07/2023,Eden Prairie,MN,USA,Cigar,Craft moved at high speed traveling south directly at my House and camera them made an abrupt turn to the west.,07/05/2023,07/10/2023,502
https://nuforc.org/sighting/?id=176562,07/2023,Shenandoah,VA,USA,Cigar,"Recording neighbors fireworks and a green light cut across the sky, saw it with my naked eye too just wasnt sure what it was right away",07/03/2023,07/10/2023,502
https://nuforc.org/sighting/?id=176560,07/2023,West Orange,NJ,USA,Formation,We saw glowing white lights overhead in a V formation floating by silently.,07/02/2023,07/10/2023,502
https://nuforc.org/sighting/?id=176580,07/2023,Woodridge,IL,USA,Orb,It was like fire in the sky.,07/04/2023,07/10/2023,502
https://nuforc.org/sighting/?id=176540,07/2023,Milford,IA,USA,Circle,"Not moving, from what we can tell - or perhaps very slowly - silver or white, reflecting light",07/01/2023,07/10/2023,502
https://nuforc.org/sighting/?id=176554,07/2023,Marion,IL,USA,Orb,While doing runway inspections spotted craft moving horizontally then upward into clouds. No air traffic on local freq or on ADSB,07/02/2023,07/10/2023,502
https://nuforc.org/sighting/?id=178074,07/2023,Denver,CO,USA,Orb,Silent Metallic Orange Orb silently hovering at low altitude over Denver,09/05/2023,09/10/2023,502
https://nuforc.org/sighting/?id=176778,07/2023,"31.997470, 44.353483",Najaf Governorate,Iraq,Light,"5 luminous objects landed, one of them descended, and the rest remained flying, then the fifth joined the four and set off into the sky",07/15/2023,07/29/2023,502
https://nuforc.org/sighting/?id=176545,07/2023,Warsaw,KY,USA,Disk,Taking photos of damage after storm notice UFO in picture different locations,07/01/2023,07/10/2023,502
https://nuforc.org/sighting/?id=176565,07/2023,Bogotá,Cundinamarca Department,Colombia,Triangle,Something happened while I was looking at the moon with a telescope,07/03/2023,07/10/2023,502
https://nuforc.org/sighting/?id=176539,07/2023,Approx. 2.5 NM off coast of Sloop Point,NJ,USA,Cube,Pulled alongside my boat. I was afraid I was going to hit it. Stayed about 20 feet and hovered just off surface.,07/01/2023,07/10/2023,502
https://nuforc.org/sighting/?id=176532,07/2023,Killiney,County Dublin,Ireland,Oval,2 to 3 lighting fast light moves just at elevated cloud level,06/30/2023,07/10/2023,502
https://nuforc.org/sighting/?id=177942,08/2023,Appomattox,VA,USA,Circle,Object lights up disappears then does it again.,08/31/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177955,08/2023,Ambridge,PA,USA,Cylinder,A silver or gray line that was very high up barely visible.,09/01/2023,09/10/2023,524
https://nuforc.org/sighting/?id=178371,08/2023,Bentonville,AR,USA,Orb,"roommates saw several lights in the sky, ""dancing"" and ""zipping"" around",09/19/2023,10/28/2023,524
https://nuforc.org/sighting/?id=178014,08/2023,Lewiston,ID,USA,Oval,"Did not see in person, security footage picked it up. Slow moving oval shape light with tails crossing sky .",09/04/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177980,08/2023,Ellisville,MS,USA,Other,Yellow to dark red undulating elongated hexagonal shaped craft.,09/01/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177974,08/2023,El Paso,TX,USA,Changing,"2 lights, looked like Mars & smaller star too close. Larger one expanded. They disappeared instantly. 5 then appeared.",09/01/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177975,08/2023,Rockfish,NC,USA,Flash,Extremely bright flash occuring overhead every thirteen seconds.,09/01/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177958,08/2023,Van Nuys,CA,USA,Fireball,"Blue UFO about 40 degrees up from horizon, around 5 degrees upward from the horizontal coming from the east with a lingering jet trail",09/01/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177962,08/2023,Santa Cruz,CA,USA,Triangle,I am seeing weird things in the sky,09/01/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177978,08/2023,Columbia,MD,USA,Circle,I saw two bright white objects falling in one another and then they just disappeared after 15 seconds,09/01/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177948,08/2023,South Beloit,IL,USA,Triangle,Gray and white object flying in formation of 12,08/31/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177959,08/2023,Salt Lake City,UT,USA,Cube,Cube was hovering not moving for 2-3 minutes,09/01/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177926,08/2023,Reykjavik (Capital Region),Capital Region,Iceland,Circle,"White dots in formations, inside northern lights over the harpa in Iceland",08/30/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177929,08/2023,Des Plains,WI,USA,Light,Looked like a reflection of a craft in the sky. no structure of the actual craft was visible or it blended in with the color of the sky,08/31/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177933,08/2023,Hesperia,CA,USA,Circle,3 objects not blinking like regular aircraft,08/31/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177936,08/2023,Rome,NY,USA,Cross,Very bright object that seems to be standing still.,08/31/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177932,08/2023,Rome,NY,USA,Other,First saw it over top of my house and watched as it moved ever so slow upward at a angle,08/31/2023,09/10/2023,524
https://nuforc.org/sighting/?id=178005,08/2023,Buckeye,AZ,USA,Circle,Recorded on my Night- Cam,09/04/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177947,08/2023,Independence,MO,USA,Light,"Pinkish light, singular or pair. Would appear for ~10 seconds, vary luminosity then disappear.",08/31/2023,09/10/2023,524
https://nuforc.org/sighting/?id=178330,08/2023,Indianapolis,IN,USA,Other,I have video of a bright light that was dancing around in the sky and appeared to come closer at times and had a swirl in it,09/17/2023,10/28/2023,524
https://nuforc.org/sighting/?id=177938,08/2023,Bonne Terre to Desoto,MO,USA,Orb,2 Very Bright Orb Lights Close together,08/31/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177937,08/2023,Paulden,AZ,USA,Orb,3 orange orbs flew in from NW high in the sky to N directly above the horizon. Fading in and out one or two at a time or taking turns.,08/31/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177940,08/2023,Palo Alto,CA,USA,Cross,Craft has been showing up every night for over a month,08/31/2023,09/10/2023,524
